Kp: 0.355757, Ki: 0.00627923,Kd: 1.43196e-05
Kp: 0.77755, Ki: -0.00864038,Kd: 0.000972408
Kp: 0.867125, Ki: 0.00137085,Kd: 0.00143138
Kp: 0.88277, Ki: 0.000453146,Kd: 0.00139459
Kp: 0.892858, Ki: 0.00122894,Kd: 0.00159561
Kp: 0.898787, Ki: 0.00161327,Kd: 0.00169801
Kp: 0.898787, Ki: 0.00161327,Kd: 0.00169801
Kp: 0.898787, Ki: 0.00161327,Kd: 0.00169801
Kp: 0.898787, Ki: 0.00161327,Kd: 0.00169801
Kp: 0.909947, Ki: 0.00186515,Kd: 0.00211573
Kp: 0.951993, Ki: 0.000345749,Kd: 0.00308958
Kp: 0.961993, Ki: 0.000705978,Kd: 0.00352351
Kp: 0.983248, Ki: 0.000487414,Kd: 0.00438846
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.987426, Ki: 9.8678e-05,Kd: 0.00428098
Kp: 0.988665, Ki: 0.000285125,Kd: 0.00428331
Kp: 0.988665, Ki: 0.000285125,Kd: 0.00428331
Kp: 0.988665, Ki: 0.000285125,Kd: 0.00428331
Kp: 0.988665, Ki: 0.000285125,Kd: 0.00428331
Kp: 0.988665, Ki: 0.000285125,Kd: 0.00428331
Kp: 0.988665, Ki: 0.000285125,Kd: 0.00428331
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
Kp: 0.998902, Ki: -7.63173e-06,Kd: 0.0045926
